video_url,stroke_type,start_time,end_time,player_name,notes
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,net_shot,03:30.73,03:31.79,Kunlavut Vitidsarn, net_shot right 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,drop_shot,03:32.58,03:33.86,Kunlavut Vitidsarn, drop_shot 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,lift,03:34.35,03:35.47,Kunlavut Vitidsarn, lift right 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,drop_shot,03:36.50,03:37.83,Kunlavut Vitidsarn, drop_shot 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,clear,03:39.75,03:41.32,Kunlavut Vitidsarn, clear  
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,lift,03:42.27,03:43.34,Kunlavut Vitidsarn, lift right 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,lift,03:43.84,03:45.28,Kunlavut Vitidsarn, lift left  
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,net_shot,03:46.01,03:47.29,Kunlavut Vitidsarn, net_shot left  
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,lift,03:48.00,03:49.55,Kunlavut Vitidsarn, lift right 
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,smash,03:52.35,03:53.32,Kunlavut Vitidsarn, smash  
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,drop_shot,03:54.00,03:55.17,Kunlavut Vitidsarn, drop_shot  
https://www.youtube.com/watch?v=iuuLXZ4g8bc&t=65s,clear,03:58.04,03:59.91,Kunlavut Vitidsarn, clear  









